Age,Asian,EuropeanorOther,Maori,PacificPeoples,Various,Total
0,59436,142135,77999,31043,47,310660
5,60679,154889,83904,33428,44,332944
10,47777,180204,81845,35600,53,345479
15,42417,172825,70634,33058,60,318994
20,50796,180555,67274,36098,70,334793
25,81931,202363,63189,35134,49,382666
30,100897,213924,58429,31227,38,404515
35,92630,194926,44994,26302,45,358897
40,69003,189253,41818,24090,36,324200
45,50227,210100,42850,22152,52,325381
50,41711,230899,42786,21194,54,336644
55,36311,230329,38895,18718,46,324299
60,31064,224951,32840,14553,48,303456
65,28542,195589,22930,10968,44,258073
70,18604,178925,15459,7788,35,220811
75,10279,131513,8506,4968,45,155311
80,6735,91982,4855,2798,40,106410
85,3417,50021,1964,1158,75,56635
90,1305,30905,732,438,98,33478
Total,833761,3206288,801903,390715,979,5233646
